id,code_origin,name_origin,type,code_change,name_change,create_time,edit_time
231,411624200000,连池乡,撤乡建镇,411624110000,连池镇,12/21/2017 11:19:57,12/21/2017 11:19:57
232,411624207000,洪山乡,撤乡建镇,411624111000,洪山镇,12/21/2017 11:19:57,12/21/2017 11:19:57
233,410522112000,蒋村镇,合并,,,12/21/2017 11:19:57,12/21/2017 11:19:57
234,410727205000,居厢乡,撤乡建镇,410727111000,居厢镇,12/21/2017 11:19:57,12/21/2017 11:19:57
235,410526208000,慈周寨乡,撤乡建镇,410526110000,慈周寨镇,12/21/2017 11:19:57,12/21/2017 11:19:57
236,410526210000,焦虎乡,撤乡建镇,410526111000,焦虎镇,12/21/2017 11:19:57,12/21/2017 11:19:57
237,410527204000,二安乡,撤乡建镇,410527107000,二安镇,12/21/2017 11:19:57,12/21/2017 11:19:57
238,410581202000,茶店乡,撤乡建镇,410581114000,茶店镇,12/21/2017 11:19:57,12/21/2017 11:19:57
239,410203200000,东郊乡,撤乡建街道,410203007000,东苑街道,12/21/2017 11:19:57,12/21/2017 11:19:57
240,410203203000,土柏岗乡,撤乡建街道,410203008000,土柏岗街道,12/21/2017 11:19:57,12/21/2017 11:19:57
241,,,新建街道,410212001000,城东街道,12/21/2017 11:19:57,12/21/2017 11:19:57
242,,,新建街道,410311009000,翠云路街道,12/21/2017 11:19:57,12/21/2017 11:19:57
243,410327110000,丰李镇,区划变更,410311106000,丰李镇,12/21/2017 11:19:57,12/21/2017 11:19:57
244,410329206000,白元乡,撤乡建镇,410329110000,白元镇,12/21/2017 11:19:57,12/21/2017 11:19:57
245,410329100000,城关镇,撤销,,,12/21/2017 11:19:57,12/21/2017 11:19:57
246,410411100000,北渡镇,撤镇建街道,410411007000,北渡街道,12/21/2017 11:19:57,12/21/2017 11:19:57
247,,,新建街道,410411008000,荆山街道,12/21/2017 11:19:57,12/21/2017 11:19:57
248,,,新建街道,410411009000,河滨街道,12/21/2017 11:19:57,12/21/2017 11:19:57
249,410421201000,赵庄乡,撤乡建镇,410421108000,赵庄镇,12/21/2017 11:19:57,12/21/2017 11:19:57
250,410422100000,昆阳镇,撤镇建街道,410422001000,昆阳街道,12/21/2017 11:19:57,12/21/2017 11:19:57
251,410422200000,城关乡,撤乡建街道,410422002000,九龙街道,12/21/2017 11:19:57,12/21/2017 11:19:57
252,,,撤乡建街道,410422003000,盐都街道,12/21/2017 11:19:57,12/21/2017 11:19:57
253,410423200000,赵村乡,撤乡建镇,410423106000,赵村镇,12/21/2017 11:19:57,12/21/2017 11:19:57
254,410423205000,瓦屋乡,撤乡建镇,410423107000,瓦屋镇,12/21/2017 11:19:57,12/21/2017 11:19:57
255,410725100000,城关镇,撤镇建街道,410725001000,原兴街道,12/21/2017 11:19:57,12/21/2017 11:19:57
256,,,新建街道,410725002000,阳和街道,12/21/2017 11:19:57,12/21/2017 11:19:57
257,410728208000,佘家乡,撤乡建镇,410728195000,佘家镇,12/21/2017 11:19:57,12/21/2017 11:19:57
258,410822100000,清化镇,撤镇建街道,410822001000,清化镇街道,12/21/2017 11:19:57,12/21/2017 11:19:57
259,,,新建街道,410822002000,鸿昌街道,12/21/2017 11:19:57,12/21/2017 11:19:57
260,,,新建街道,410990005000,濮上街道,12/21/2017 11:19:57,12/21/2017 11:19:57
261,411103200000,黑龙潭乡,撤乡建镇,411103107000,黑龙潭镇,12/21/2017 11:19:57,12/21/2017 11:19:57
262,411122200000,大郭乡,撤乡建镇,411122110000,大郭镇,12/21/2017 11:19:57,12/21/2017 11:19:57
263,411302203000,金华乡,撤乡建镇,411302106000,金华镇,12/21/2017 11:19:57,12/21/2017 11:19:57
264,411327212000,陌陂乡,撤乡建镇,411327114000,陌陂镇,12/21/2017 11:19:57,12/21/2017 11:19:57
265,411403206000,毛堌堆乡,撤乡建镇,411403109000,毛堌堆镇,12/21/2017 11:19:57,12/21/2017 11:19:57
266,411421100000,城关镇,撤镇建街道,411421001000,绿洲街道,12/21/2017 11:19:57,12/21/2017 11:19:57
267,411421100000,城关镇,撤镇建街道,411421002000,南华街道,12/21/2017 11:19:57,12/21/2017 11:19:57
268,411424210000,伯岗乡,撤乡建镇,411424108000,伯岗镇,12/21/2017 11:19:57,12/21/2017 11:19:57
269,411425213000,稍岗乡,撤乡建镇,411425110000,稍岗镇,12/21/2017 11:19:57,12/21/2017 11:19:57
270,411481100000,演集镇,撤镇建街道,411481001000,演集街道,12/21/2017 11:19:57,12/21/2017 11:19:57
271,411481101000,城关镇,撤镇建街道,411481002000,崇法寺街道,12/21/2017 11:19:57,12/21/2017 11:19:57
272,411481201000,侯岭乡,撤乡建街道,411481003000,侯岭街道,12/21/2017 11:19:57,12/21/2017 11:19:57
273,411481200000,城厢乡,撤乡建街道,411481004000,沱滨街道,12/21/2017 11:19:57,12/21/2017 11:19:57
274,,,新建街道,411481005000,日月湖街道,12/21/2017 11:19:57,12/21/2017 11:19:57
275,,,新建街道,411481006000,雪枫街道,12/21/2017 11:19:57,12/21/2017 11:19:57
276,411481204000,双桥乡,撤乡建镇,411481124000,双桥镇,12/21/2017 11:19:57,12/21/2017 11:19:57
277,411481207000,卧龙乡,撤乡建镇,411481125000,卧龙镇,12/21/2017 11:19:57,12/21/2017 11:19:57
278,411524206000,金刚台乡,撤乡建镇,411524110000,金刚台镇,12/21/2017 11:19:57,12/21/2017 11:19:57
279,411722206000,和店乡,撤乡建镇,411722110000,和店镇,12/21/2017 11:19:57,12/21/2017 11:19:57
280,,,新建街道,411727004000,宿鸭湖街道,12/21/2017 11:19:57,12/21/2017 11:19:57
281,420114004000,侏儒街道,更名,420114004000,侏儒山街道,12/21/2017 11:19:57,12/21/2017 11:19:57
282,421381205000,太平乡,撤乡建镇,421381111000,太平镇,12/21/2017 11:19:57,12/21/2017 11:19:57
283,421381206000,李店乡,撤乡建镇,421381112000,李店镇,12/21/2017 11:19:57,12/21/2017 11:19:57
284,421381204000,骆店乡,撤乡建镇,421381113000,骆店镇,12/21/2017 11:19:57,12/21/2017 11:19:57
285,421381200000,城郊乡,撤乡建镇,421381004000,城郊街道,12/21/2017 11:19:57,12/21/2017 11:19:57
286,,,新建街道,420607003000,肖湾街道,12/21/2017 11:19:57,12/21/2017 11:19:57
